Nº DO LOTE;ENTRADA DE SAL EM FINO;ESTOQUE DE SAL EM FINO AU;DATA DA ENTREGA;Nº DO PEDIDO;data;NOME DO CLIENTE ; PEDIDOS EM FINO ; SEDEX ;AMOSTRAS E TESTES; PAGAMENTO DE TEOR ; PEDIDOS EM SAL ;METAL EM SAL;;;;;;;;
1097;;1245,53;02/12/2020;29514;;four metalic; 10,00 ;;;; 14,70 ;1830,93262;;;;;;;;
1097;;1230,53;02/12/2020;29515;;Michester; 15,00 ;;;; 22,05 ;1808,88262;;;;;;;;
1097;;1230,53;;29516;;CANCELADO; -   ;;;; -   ;1808,88262;;;;;;;;
1097;;1213,49;05/12/2020;29517;;RD BRINDES; 17,04 ;;;; 25,05 ;1783,83382;;;;;;;;
1097;;1166,49;05/12/2020;29518;;BRUNA; 47,00 ;;;; 69,09 ;1714,74382;;;;;;;;
1097;;166,49;05/12/2020;29519;;BRUNA; 1.000,00 ;;;; 1.470,00 ;244,7438202;;;;;;;;
1097;;156,49;05/12/2020;29520;;PW; 10,00 ;;;; 14,70 ;230,0438202;;;;;;;;
1097;;136,49;08/12/2020;29521;;amon; 20,00 ;;;; 29,40 ;200,6438202;;;;;;;;
1098;1394,312925;1461,78;07/12/2020;29522;;FENIX; 68,03 ; -   ;1;; 101,47 ;2148,81413;;;;;;;;
1098;;1431,78;08/12/2020;29523;;PAULO BRUM; 30,00 ;;;; 44,10 ;2104,71413;;;;;;;;
1098;;947,05;08/12/2020;29524;;bruna; 484,73 ;;;; 712,55 ;1392,16103;;;;;;;;
1098;;897,05;08/12/2020;29525;;MIX METAIS; 50,00 ;;;; 73,50 ;1318,66103;;;;;;;;
1098;;848,80;08/12/2020;29526;;HECTOR; 48,25 ;;;; 70,93 ;1247,73353;;;;;;;;
1098;;838,80;08/12/2020;29527;;CORREA; 10,00 ;;;; 14,70 ;1233,03353;;;;;;;;
1098;;823,80;14/12/2020;29528;;MICHESTER; 15,00 ;;;; 22,05 ;1210,98353;;;;;;;;
1098;;755,77;14/12/2020;29529;;FENIX; 68,03 ;;;; 100,00 ;1110,98384;;;;;;;;
1098;;735,77;14/12/2020;29530;;correa; 20,00 ;;;; 29,40 ;1081,58384;;;;;;;;
1098;;730,77;14/12/2020;29531;;oficina Diacomo; 5,00 ;;;; 7,35 ;1074,23384;;;;;;;;
1098;;710,77;14/12/2020;29532;;PUZZUOLLI; 20,00 ;;;; 29,40 ;1044,83384;;;;;;;;
1098;;680,77;14/12/2020;29533;;PAULO BRUM; 30,00 ;;;; 44,10 ;1000,73384;;;;;;;;
1098;;676,77;16/12/2020;29534;;GLAUCO; 4,00 ;;;; 5,88 ;994,8538402;;;;;;;;
1098;;661,77;16/12/2020;29535;;MICHESTER; 15,00 ;;;; 22,05 ;972,8038402;;;;;;;;
1098;;656,77;16/12/2020;29536;;FOUR METALIC; 5,00 ;;;; 7,35 ;965,4538402;;;;;;;;
1098;;641,77;16/12/2020;29537;;GEMAS DO MUNDO; 15,00 ;;;; 22,05 ;943,4038402;;;;;;;;
1098;;634,77;16/12/2020;29538;;AMON; 7,00 ;;;; 10,29 ;933,1138402;;;;;;;;
1098;;624,77;16/12/2020;29539;;LOEFLER; 10,00 ;;;; 14,70 ;918,4138402;;;;;;;;
1098;;611,13;16/12/2020;29540;;RENATA ALT; 13,64 ;;;; 20,05 ;898,3630402;;;;;;;;
1098;;606,13;18/12/2020;29541;;NATHY; 5,00 ;;;; 7,35 ;891,0130402;;;;;;;;
1098;;576,13;18/12/2020;29542;;PAULO BRUM; 30,00 ;;;; 44,10 ;846,9130402;;;;;;;;
1098;;508,10;18/12/2020;29543;;oficina oriental; 68,03 ;;;; 100,00 ;746,9133502;;;;;;;;
1098;;31,91;18/12/2020;29544;;CENNABRAS; 476,19 ;;;; 700,00 ;46,91335021;;;;;;;;
1098-a;126,0544218;89,94;18/12/2020;29545;;FENIX; 68,03 ;;;; 100,00 ;132,2136602;;;;;;;;
